Tarih,Test,YogunBakim,Entube
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,55464,445,309
2020-03-29,65446,568,394
2020-03-30,76981,725,523
2020-03-31,92403,847,622
2020-04-01,106799,979,692
2020-04-02,125556,1101,783
2020-04-03,141716,1251,867
2020-04-04,161380,1311,909
2020-04-05,181445,1381,935
2020-04-06,202845,1415,966
2020-04-07,222868,1474,987
2020-04-08,247768,1492,995
2020-04-09,276338,1552,1017
2020-04-10,307210,1667,1062
2020-04-11,340380,1626,1021
2020-04-12,376100,1665,978
2020-04-13,410556,1786,1063
2020-04-14,443626,1809,1087