il,vaka_sayisi,vefat_sayisi
Adana,197,3
Adiyaman,26,0
Afyon,11,0
Agri,29,0
Aksaray,4,0
Amasya,24,1
Ankara,712,7
Antalya,95,2
Ardahan,5,0
Artvin,15,0
Aydin,12,1
Balikesir,87,5
Bartın,8,0
Batman,7,0
Bayburt,18,0
Bilecik,5,0
Bingöl,8,0
Bitlis,22,0
Bolu,6,0
Burdur,2,0
Bursa,135,2
Çanakkale,24,2
Çankiri,13,0
Çorum,29,1
Denizli,81,2
Diyarbakir,26,2
Düzce,21,0
Edirne,89,2
Elazığ,9,1
Erzincan,17,2
Erzurum,86,0
Eskisehir,83,1
Gaziantep,37,1
Giresun,61,1
Gümüshane,12,0
Hakkari,2,0
Hatay,22,0
Iğdır,25,0
Isparta,268,1
Istanbul,8852,117
Izmir,853,18
K. Maras,15,2
Karabük,10,0
Karaman,12,0
Kars,25,0
Kastamonu,13,0
Kayseri,109,1
Kinkkale,22,1
Kirklareli,35,0
Kirsehir,4,0
Kilis,16,0
Kocaeli,410,8
Konya,584,7
Kütahya,5,0
Malatya,49,2
Manisa,65,1
Mardin,34,0
Mersin,9,0
Mugla,43,1
Mus,11,0
Nevsehir,18,0
Nigde,3,0
Ordu,73,0
Osmaniye,31,1
Rize,88,3
Sakarya,207,3
Samsun,112,1
Siirt,32,0
Sinop,31,1
Sivas,67,1
Sanliurfa,11,0
Sirnak,3,0
Tekirdag,101,0
Tokat,80,3
Trabzon,74,5
Tunceli,6,0
Usak,38,1
Van,26,0
Yalova,46,0
Yozgat,13,2
Zinguldak,112,5